experiment_name,target_key,target_label,input_type,behavior_scope,n_total,n_train,n_test,n_features,n_features_raw,cv_folds_total,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,cv_R2_min,cv_R2_max,test_MAE,test_RMSE,test_R2,status,error
qids__imaging_only,qids,QIDS depression severity,imaging_only,none,212,169,43,73,516,15,3.7066095146542115,0.34861719758385207,4.582731935852189,0.5839754315330203,-0.05115783329951024,0.07989696705642946,-0.1446961727329672,0.10245933557704157,4.008112023286738,4.954446901176929,-0.11247021997596751,ok,
qids__behavioral_only__all,qids,QIDS depression severity,behavioral_only,all,212,169,43,206,203,15,2.1737446799062643,0.30254402647310763,2.9041766860499343,0.5002180321985498,0.5787051379527536,0.06850714552414722,0.44918930776530475,0.7336290434260578,2.034043105233552,2.809788051893819,0.6421960255466157,ok,
qids__behavioral_only__relevant,qids,QIDS depression severity,behavioral_only,relevant,212,169,43,24,21,15,2.1892540624749453,0.33378911294177427,2.8511177959367116,0.4606161062149831,0.5884181296667522,0.09315652418618373,0.367144648571894,0.7087163441949345,2.2306062052105933,2.8346214525580344,0.635843407448164,ok,
qids__behavioral_only__category,qids,QIDS depression severity,behavioral_only,category,212,169,43,10,7,15,2.405080904360536,0.3701599864201648,3.249661619222695,0.4991064149517042,0.46765044005234263,0.09643266782765761,0.2914488011207358,0.5967686191274811,2.823436433588453,3.544697990228372,0.4305487959280643,ok,
qids__behavioral_only__non-symptom,qids,QIDS depression severity,behavioral_only,non-symptom,212,169,43,195,192,15,2.3567251551359756,0.3000897771114902,3.1806632683981366,0.5019830503212795,0.4949539114290856,0.06446314907060255,0.3901570507922423,0.6522537104986483,2.2333916627704755,3.155516215036046,0.5487274989797502,ok,
qids__multimodal__all,qids,QIDS depression severity,multimodal,all,212,169,43,279,719,15,2.2306228039809004,0.32759521404934994,2.98146603985235,0.5260231280575832,0.5570789997890405,0.06937310753345452,0.40921501896646006,0.7022957334425161,2.1096374304032506,2.9020547085313164,0.6183113654740442,ok,
qids__multimodal__relevant,qids,QIDS depression severity,multimodal,relevant,212,169,43,97,537,15,2.4416361709133367,0.3491475332796764,3.1791336599698865,0.5070254228882278,0.49474544357320405,0.0740884505438924,0.3568184932925764,0.613964814545757,2.5160373617209357,3.1732832034346226,0.5436314547592687,ok,
qids__multimodal__category,qids,QIDS depression severity,multimodal,category,212,169,43,83,523,15,2.878447600300863,0.369406932338316,3.72189648410488,0.5833242822845596,0.3097888427575749,0.07612619339441455,0.11798009221539008,0.44675719514236756,3.164100878010101,3.916026135501853,0.3049929647756463,ok,
qids__multimodal__non-symptom,qids,QIDS depression severity,multimodal,non-symptom,212,169,43,268,708,15,2.4257194024172413,0.32418170950981956,3.2497618568453137,0.5238237815554052,0.47369644959890417,0.06404083774307053,0.3570882444064871,0.6277134394552786,2.302721853037761,3.2413280004579783,0.5238497689858244,ok,
stai__imaging_only,stai,STAI state anxiety severity,imaging_only,none,219,175,44,73,516,15,11.632847620957724,0.5566609103994438,13.815544355305898,0.6636074354298976,-0.09674834619429505,0.058753878531102935,-0.23692621300281091,-0.0111887036204672,12.196564906185007,14.415837825976693,-0.09988283894711247,ok,
